,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
21886,21886,17.3801,-1.32601e-05,-2.03098e-05,-2.09812e-05,-1.82956e-05,-1.79599e-05,-8.22461e-06,9.9031e-06,-3.13878e-05,4.86763e-06,2.18204e-06
21887,21887,17.3809,-1.35958e-05,-1.61135e-05,-2.06455e-05,-1.52743e-05,-1.76242e-05,-8.56031e-06,6.71397e-06,-3.22271e-05,1.84634e-06,3.69268e-06
21888,21888,17.3816,-1.12459e-05,-1.29244e-05,-2.43381e-05,-1.54421e-05,-1.93027e-05,-6.54612e-06,7.88891e-06,-3.30663e-05,-3.02129e-06,1.84634e-06
21889,21889,17.3824,-1.32601e-05,-1.42672e-05,-2.29953e-05,-1.7792e-05,-1.8967e-05,-8.56031e-06,1.05745e-05,-2.97093e-05,-3.52483e-06,5.03548e-07
21890,21890,17.3832,-1.15816e-05,-9.56741e-06,-2.09812e-05,-1.42672e-05,-1.62814e-05,-4.86763e-06,1.32601e-05,-2.76951e-05,-4.19623e-06,3.52483e-06
21891,21891,17.384,-1.12459e-05,-7.21752e-06,-2.16526e-05,-1.46029e-05,-1.72885e-05,-1.67849e-06,1.2253e-05,-2.76951e-05,-2.51774e-06,1.67849e-06
21892,21892,17.3848,-1.04067e-05,-6.88182e-06,-2.21561e-05,-1.42672e-05,-1.8967e-05,-1.17494e-06,1.19173e-05,-2.97093e-05,-2.18204e-06,-5.03548e-07
21893,21893,17.3856,-8.56031e-06,-6.21042e-06,-2.16526e-05,-1.62814e-05,-1.8967e-05,-3.52483e-06,7.88891e-06,-2.90379e-05,1.51064e-06,1.84634e-06
21894,21894,17.3864,-1.09102e-05,-5.53903e-06,-2.09812e-05,-1.72885e-05,-2.16526e-05,-3.18914e-06,-5.03548e-07,-3.03807e-05,4.86763e-06,2.85344e-06
21895,21895,17.3872,-1.02388e-05,-8.22461e-06,-1.82956e-05,-1.69528e-05,-2.26596e-05,-1.0071e-06,-1.51064e-06,-2.98772e-05,5.87472e-06,1.17494e-06
21896,21896,17.388,-8.89601e-06,-1.25887e-05,-1.96384e-05,-1.69528e-05,-2.09812e-05,-2.85344e-06,1.67849e-07,-2.73594e-05,-1.51064e-06,-2.85344e-06
21897,21897,17.3888,-1.37636e-05,-1.2253e-05,-1.76242e-05,-1.39315e-05,-2.16526e-05,-4.19623e-06,-1.51064e-06,-2.88701e-05,-2.34989e-06,-8.39246e-07
21898,21898,17.3896,-1.12459e-05,-1.02388e-05,-1.79599e-05,-1.19173e-05,-2.16526e-05,-5.53903e-06,-3.86053e-06,-3.122e-05,-3.52483e-06,1.17494e-06
21899,21899,17.3904,-9.73526e-06,-1.24208e-05,-1.99741e-05,-1.15816e-05,-1.8967e-05,-2.18204e-06,-4.86763e-06,-2.90379e-05,-8.39246e-07,3.02129e-06
21900,21900,17.3912,-1.25887e-05,-1.49386e-05,-1.86313e-05,-1.12459e-05,-1.91348e-05,-5.03548e-07,-4.86763e-06,-3.13878e-05,4.86763e-06,6.04257e-06
21901,21901,17.392,-1.27565e-05,-1.25887e-05,-1.8967e-05,-8.39246e-06,-1.76242e-05,-2.34989e-06,-2.18204e-06,-2.97093e-05,8.89601e-06,8.39246e-07
21902,21902,17.3928,-1.30922e-05,-1.25887e-05,-1.98062e-05,-9.23171e-06,-1.71206e-05,-3.86053e-06,2.68559e-06,-2.76951e-05,4.36408e-06,-4.36408e-06
21903,21903,17.3936,-1.24208e-05,-1.04067e-05,-2.03098e-05,-1.09102e-05,-1.98062e-05,-4.53193e-06,9.9031e-06,-2.56809e-05,-3.52483e-06,-5.70687e-06
21904,21904,17.3944,-1.09102e-05,-7.88891e-06,-1.96384e-05,-1.12459e-05,-2.18204e-05,-8.89601e-06,1.52743e-05,-2.88701e-05,-3.52483e-06,6.71397e-07
21905,21905,17.3951,-1.2253e-05,-9.9031e-06,-1.98062e-05,-1.52743e-05,-2.03098e-05,-7.21752e-06,1.561e-05,-3.03807e-05,8.39246e-07,5.53903e-06
21906,21906,17.3959,-8.22461e-06,-1.561e-05,-2.06455e-05,-1.71206e-05,-2.03098e-05,-5.20333e-06,1.72885e-05,-3.0045e-05,5.87472e-06,6.37827e-06
21907,21907,17.3967,-7.55322e-06,-1.7792e-05,-2.16526e-05,-1.96384e-05,-1.93027e-05,-4.86763e-06,1.69528e-05,-2.80308e-05,7.38537e-06,9.23171e-06
21908,21908,17.3975,-1.02388e-05,-1.62814e-05,-2.09812e-05,-2.21561e-05,-1.82956e-05,-4.02838e-06,1.35958e-05,-3.27306e-05,6.21042e-06,8.72816e-06
21909,21909,17.3983,-1.09102e-05,-1.19173e-05,-2.16526e-05,-2.24918e-05,-1.84634e-05,-7.38537e-06,3.69268e-06,-3.47448e-05,5.87472e-06,7.21752e-06
21910,21910,17.3991,-7.38537e-06,-1.46029e-05,-2.03098e-05,-2.26596e-05,-1.96384e-05,-7.21752e-06,-5.70687e-06,-3.44091e-05,3.18914e-06,6.54612e-06
21911,21911,17.3999,-6.71397e-06,-1.96384e-05,-2.09812e-05,-2.4506e-05,-1.57778e-05,-8.22461e-06,-8.89601e-06,-3.77661e-05,2.18204e-06,6.54612e-06
21912,21912,17.4007,-9.56741e-06,-1.86313e-05,-2.03098e-05,-2.19883e-05,-1.62814e-05,-5.37118e-06,-5.53903e-06,-4.21302e-05,2.18204e-06,5.20333e-06
21913,21913,17.4015,-1.14137e-05,-1.561e-05,-2.09812e-05,-1.76242e-05,-1.51064e-05,-5.53903e-06,-2.51774e-06,-3.84375e-05,1.51064e-06,4.86763e-06
21914,21914,17.4023,-1.15816e-05,-1.57778e-05,-2.03098e-05,-1.561e-05,-1.66171e-05,-6.37827e-06,1.51064e-06,-3.60876e-05,1.0071e-06,3.02129e-06
21915,21915,17.4031,-1.30922e-05,-1.62814e-05,-2.03098e-05,-1.64492e-05,-2.03098e-05,-8.39246e-07,9.56741e-06,-3.60876e-05,1.17494e-06,2.01419e-06
21916,21916,17.4039,-1.05745e-05,-1.35958e-05,-2.06455e-05,-1.79599e-05,-1.99741e-05,1.84634e-06,1.39315e-05,-2.95415e-05,1.67849e-07,4.86763e-06
21917,21917,17.4047,-1.29244e-05,-1.52743e-05,-1.96384e-05,-1.69528e-05,-1.82956e-05,-6.88182e-06,7.88891e-06,-2.63523e-05,-4.19623e-06,3.02129e-06
