,0,1,2,3,4,5,6,7,8,9
0,0.00102002001,0.00114053601,0.0017144134999999999,0.0013424593,0.0015066161000000002,0.000397802716,0.000368093691,0.0024917217000000004,0.00023263909699999997,0.00046746016
1,0.00020700752531892228,0.0002721759801827871,0.00036088604824675505,0.0002761024898257433,0.0003358100230039205,0.00011469500525096809,8.133396953457559e-05,0.0004813940818499731,3.8390628513880484e-05,0.00010384188486984165
2,0.00020225687889849765,0.00025291505816684096,0.00031852668200105325,0.0002619871942847457,0.00023029853426528705,1.8234604542089456e-05,9.096818256052127e-05,0.00046643643613153196,1.944499927716896e-05,7.338364695353359e-05
3,0.00010093720498267485,8.9578067575134e-05,0.00021583352864085767,0.00012381028754740355,0.00016849984688126326,6.909180546648414e-05,5.8466753090302154e-05,0.0003647631791080299,0.00011191826729405769,7.712857408054066e-05
4,6.889061676557065e-05,2.1692871564954866e-05,0.0001441180462436617,0.0001454405130871587,0.0002047091684663185,4.959370255048985e-05,9.752640066585064e-05,0.00021212447374648982,2.9343881040527925e-05,7.54743386115852e-06
5,6.388783021319674e-05,9.16484104933913e-06,1.9006658514945163e-05,8.753488884607599e-06,8.268586593093709e-06,1.5648235459353028e-05,0.00020604177154053932,1.3885202148878056e-05,2.55029061129237e-06,1.8221526656906557e-06
6,2.7917750745112138e-05,8.624342453855752e-06,1.3766764933581466e-05,7.1103690622278285e-06,3.465093830076856e-05,5.78685106407748e-06,5.7363214988341324e-05,2.1323405033930832e-05,1.2051065700187582e-05,3.111600061958524e-05
7,3.924060058448705e-05,5.716741455335947e-05,9.111899972057342e-05,2.293826101027776e-05,8.693498618968287e-05,4.802474401657846e-05,0.00016577315290515872,0.00014351579139961905,3.5477917788868436e-05,3.8053320281909714e-05
8,6.361626061825775e-05,1.383253778105707e-05,3.654612179168963e-05,7.850194167812456e-05,5.247187321705453e-05,2.1054067555185741e-07,8.805620395573759e-05,0.00013064245381599917,2.2005456003378216e-05,1.1848043750014093e-05
9,4.713480814558878e-05,7.432276617638396e-06,8.401927842750876e-05,7.010679004086085e-05,6.684392063371647e-05,4.063720800954075e-06,0.00019645442769569577,8.468622541568209e-05,6.282874259514639e-05,3.356266646140115e-05
10,2.8876125509914178e-05,4.774817660726483e-05,4.30929064914228e-05,1.9913403562227202e-05,3.423469931729419e-05,5.4222292568053434e-06,3.262470062590451e-05,1.1480842881871116e-05,1.2831677222765586e-05,7.059336147194575e-05
11,6.919611551859951e-06,3.55011668799662e-05,1.4407052359732308e-05,3.273564812135407e-05,8.94696099165851e-06,1.2970874008295582e-05,5.726645504093258e-05,1.4325936193223343e-05,3.0271614218689255e-05,2.0745800099423918e-05
12,1.5367745220245278e-05,2.5770614416910913e-05,2.3118470484681743e-05,4.406195659028314e-05,4.93165421039389e-05,7.57459738479171e-06,0.00018980179966216466,6.9859473879246325e-06,5.352864121049626e-05,9.04491736843701e-06
13,5.896523175951955e-05,5.916092507851712e-05,6.154824017967087e-05,1.3283653949559371e-05,2.5823248860440142e-05,2.3082866731827874e-06,0.00011677648922637764,0.00011480563577076746,1.3614770257472756e-05,3.639054223539668e-05
14,2.6028532981641198e-05,3.6660369932769933e-06,3.460174784939767e-05,8.074666546597375e-05,4.3810412368851484e-05,9.245484306554476e-06,0.0001573755441512567,6.670871179565136e-05,8.939718674046318e-07,2.8287658311034895e-05
15,2.397522012219919e-05,1.879694469426698e-07,9.509964690024969e-06,3.205138681571866e-05,6.41613286269707e-06,3.806183545918923e-05,6.055803780364087e-05,2.2254845623110523e-06,5.677883195853923e-05,1.2340018065080258e-05
