,Unnamed: 0,X [s],Avanti sensor 1: EMG 1 [V],Avanti sensor 2: EMG 2 [V],Avanti sensor 3: EMG 3 [V],Avanti sensor 4: EMG 4 [V],Avanti sensor 5: EMG 5 [V],Avanti sensor 6: EMG 6 [V],Avanti sensor 7: EMG 7 [V],Avanti sensor 8: EMG 8 [V],Avanti sensor 9: EMG 9 [V],Avanti sensor 10: EMG 10 [V]
44899,44899,35.6551,-1.40993e-05,-7.72107e-06,-2.56809e-05,-5.20333e-06,-2.29953e-05,-6.04257e-06,-9.04707e-05,9.44991e-05,1.84634e-06,3.86053e-06
44900,44900,35.6559,-1.2253e-05,-8.89601e-06,-2.7863e-05,-2.61845e-05,-1.96384e-05,-8.89601e-06,-6.79789e-05,5.35439e-05,-3.35698e-06,4.53193e-06
44901,44901,35.6567,-1.27565e-05,-1.09102e-05,-3.50805e-05,-6.52934e-05,-1.96384e-05,-1.52743e-05,-8.77852e-05,-3.57519e-05,-7.55322e-06,2.01419e-06
44902,44902,35.6575,-1.35958e-05,-1.35958e-05,-3.74304e-05,-8.61067e-05,-1.67849e-05,-1.24208e-05,-7.45251e-05,-4.64942e-05,-8.56031e-06,3.86053e-06
44903,44903,35.6583,-1.09102e-05,-1.2253e-05,-3.30663e-05,-5.99222e-05,-7.04967e-06,-1.2253e-05,-2.87022e-05,-3.44091e-05,-7.21752e-06,7.21752e-06
44904,44904,35.6591,-9.56741e-06,-8.22461e-06,-2.93736e-05,-2.90379e-05,3.69268e-06,-1.10781e-05,-1.72885e-05,-8.39246e-06,-5.53903e-06,4.86763e-06
44905,44905,35.6599,-1.24208e-05,-1.09102e-05,-3.0045e-05,-1.35958e-05,2.34989e-06,-1.19173e-05,-3.94446e-05,-1.05745e-05,-7.21752e-06,8.39246e-07
44906,44906,35.6606,-1.24208e-05,-1.35958e-05,-2.60166e-05,-1.42672e-05,-3.35698e-06,-8.72816e-06,-0.000131426,-6.79789e-05,-1.04067e-05,3.35698e-07
44907,44907,35.6614,-8.89601e-06,-1.2253e-05,-2.16526e-05,-1.86313e-05,-5.53903e-06,-3.69268e-06,-0.000142672,-0.000128237,-9.56741e-06,-3.02129e-06
44908,44908,35.6622,-1.05745e-05,-1.09102e-05,-2.06455e-05,-1.35958e-05,-5.70687e-06,-4.86763e-06,-3.91089e-05,-0.000169528,-8.89601e-06,-6.04257e-06
44909,44909,35.663,-8.89601e-06,-1.05745e-05,-1.76242e-05,4.19623e-06,-8.39246e-06,-1.67849e-06,-8.72816e-06,-0.000187152,-3.86053e-06,-6.37827e-06
44910,44910,35.6638,-7.21752e-06,-1.30922e-05,-1.93027e-05,1.561e-05,-9.56741e-06,2.34989e-06,1.561e-05,-0.000199237,0.0,-5.20333e-06
44911,44911,35.6646,-1.20851e-05,-1.72885e-05,-2.16526e-05,1.09102e-05,-1.05745e-05,6.21042e-06,6.22721e-05,-0.000184131,-1.67849e-07,-7.04967e-06
